frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"1","1757989284.240226599","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","8.8.8.8","64","ICMP",,,,,,"8","0","98"
"2","1757989284.259859074","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4",,,,"ARP",,,,,,,,"42"
"3","1757989284.259892824","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64",,,,"ARP",,,,,,,,"42"
"4","1757989284.259859407","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","8.8.8.8","192.168.64.3","115","ICMP",,,,,,"0","0","98"
"5","1757989285.242667068","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","8.8.8.8","64","ICMP",,,,,,"8","0","98"
"6","1757989285.255688759","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","8.8.8.8","192.168.64.3","115","ICMP",,,,,,"0","0","98"
"7","1757989286.246346487","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","8.8.8.8","64","ICMP",,,,,,"8","0","98"
"8","1757989286.259707262","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","8.8.8.8","192.168.64.3","115","ICMP",,,,,,"0","0","98"
"9","1757989287.248870236","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","8.8.8.8","64","ICMP",,,,,,"8","0","98"
"10","1757989287.265315757","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","8.8.8.8","192.168.64.3","115","ICMP",,,,,,"0","0","98"
"11","1757989289.610183545","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64",,,,"ARP",,,,,,,,"42"
"12","1757989289.610577252","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4",,,,"ARP",,,,,,,,"42"
"13","1757989289.839660912","16:7f:ce:eb:fe:64","ff:ff:ff:ff:ff:ff","192.168.64.1","192.168.64.255","64","UDP",,,,"57621","57621",,,"86"
"14","1757989312.147832996","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","DNS",,,,"39677","53",,,"89"
"15","1757989312.169050341","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","DNS",,,,"53","39677",,,"281"
"16","1757989312.172578544","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","91.189.91.48","64","TCP","54032","80","··········S·",,,,,"74"
"17","1757989312.208599660","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","91.189.91.48","192.168.64.3","52","TCP","80","54032","·······A··S·",,,,,"74"
"18","1757989312.208715368","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","91.189.91.48","64","TCP","54032","80","·······A····",,,,,"66"
"19","1757989312.208997576","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","91.189.91.48","64","HTTP","54032","80","·······AP···",,,,,"154"
"20","1757989312.246006314","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","91.189.91.48","192.168.64.3","52","HTTP","80","54032","·······AP···",,,,,"255"
"21","1757989312.246007189","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","91.189.91.48","192.168.64.3","52","TCP","80","54032","·······A···F",,,,,"66"
"22","1757989312.246151273","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","91.189.91.48","64","TCP","54032","80","·······A····",,,,,"66"
"23","1757989312.246584689","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","91.189.91.48","64","TCP","54032","80","·······A···F",,,,,"66"
"24","1757989312.290517709","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","91.189.91.48","192.168.64.3","52","TCP","80","54032","·······A····",,,,,"66"
"25","1757989319.840675446","16:7f:ce:eb:fe:64","ff:ff:ff:ff:ff:ff","192.168.64.1","192.168.64.255","64","UDP",,,,"57621","57621",,,"86"
"26","1757989321.635252054","16:7f:ce:eb:fe:64","33:33:00:00:00:01",,,,"ICMPv6",,,,,,,,"142"
