frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"1","1759281093.392444715","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","ICMP",,,,,,"8","0","42"
"2","1759281093.392448090","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63924","443","····CE····S·",,,,,"78"
"3","1759281093.393116588","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","ICMP",,,,,,"0","0","42"
"4","1759281093.393860418","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","443","63924","·······A·R··",,,,,"54"
"5","1759281093.430427367","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63925","113","····CE····S·",,,,,"78"
"6","1759281093.430427784","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63926","445","····CE····S·",,,,,"78"
"7","1759281093.430427867","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63927","80","····CE····S·",,,,,"78"
"8","1759281093.430514909","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","113","63925","·······A·R··",,,,,"54"
"9","1759281093.430673491","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","445","63926","·······A·R··",,,,,"54"
"10","1759281093.430694158","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","80","63927","·······A·R··",,,,,"54"
"11","1759281093.430704450","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63928","25","····CE····S·",,,,,"78"
"12","1759281093.430722450","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","25","63928","·······A·R··",,,,,"54"
"13","1759281093.430888657","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63929","21","····CE····S·",,,,,"78"
"14","1759281093.430888824","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63930","135","····CE····S·",,,,,"78"
