frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"1","1759192687.280404768","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4",,,,"ARP",,,,,,,,"42"
"2","1759192687.280459393","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64",,,,"ARP",,,,,,,,"42"
"3","1759192687.280405435","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","ICMP",,,,,,"8","0","42"
"4","1759192687.280405560","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4",,,,"ARP",,,,,,,,"42"
"5","1759192687.280656392","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64",,,,"ARP",,,,,,,,"42"
"6","1759192687.280967225","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","ICMP",,,,,,"0","0","42"
"7","1759192687.280405643","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63022","443","····CE····S·",,,,,"78"
"8","1759192687.281053683","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","443","63022","·······A·R··",,,,,"54"
"9","1759192688.281056313","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","63022","443","··········S·",,,,,"78"
"10","1759192688.281190188","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","443","63022","·······A·R··",,,,,"54"
"11","1759192692.475618028","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64",,,,"ARP",,,,,,,,"42"
"12","1759192692.475863986","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4",,,,"ARP",,,,,,,,"42"
