frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"1","1759286975.681274347","16:7f:ce:eb:fe:64","33:33:00:00:00:01",,,,"ICMPv6",,,,,,,,"142"
"2","1759286976.127142063","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","50178","22","····CE····S·",,,,,"78"
"3","1759286976.127142438","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","50179","80","····CE····S·",,,,,"78"
"4","1759286976.127497605","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","22","50178","·······A·R··",,,,,"54"
"5","1759286976.127550688","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","80","50179","·······A·R··",,,,,"54"
"6","1759286977.128414478","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","50179","80","··········S·",,,,,"78"
"7","1759286977.128415186","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","50178","22","··········S·",,,,,"78"
"8","1759286977.128569811","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","80","50179","·······A·R··",,,,,"54"
"9","1759286977.128619145","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","22","50178","·······A·R··",,,,,"54"
"10","1759286977.130373019","16:7f:ce:eb:fe:64","ff:ff:ff:ff:ff:ff","192.168.64.1","192.168.64.255","64","UDP",,,,"57621","57621",,,"86"
